url,titulo,ubicacion,precio_moneda,precio_valor,imagen_url,fuente,direccion_completa,dormitorios_detalle,precio_detalle
https://www.gallito.com.uy/casa-en-alquiler-villa-espaã±ola-inmuebles-28133644,Casa en alquiler - Villa EspaÃ±ola,Casas en Villa Española,$U,21000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66657248.jpg,Gallito,Odense esquina Pamplona - Ref: 269 y Villa Española,,
https://www.gallito.com.uy/casa-en-alquiler-uniã³n-inmuebles-28133645,Casa en alquiler - UniÃ³n,Casas en Union,$U,21000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66657256.jpg,Gallito,Odense esquina Pamplona - Ref: 268 y Union,,
https://www.gallito.com.uy/alquiler-apartamento-de-1-dormitorio-en-tres-cruces-inmuebles-28086371,"ALQUILER APARTAMENTO DE 1 DORMITORIO, EN TRES CRUCES",Apartamentos en Tres Cruces,$U,22000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/251018114050310.jpg,Gallito,Cassinoni y Rodo,,
https://www.gallito.com.uy/apartamento-en-alquiler-en-prado-agraciada-y-gil-prime-inmuebles-27896933,"Apartamento en alquiler en Prado, Agraciada y Gil, prime...",Apartamentos en Prado,$U,30000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66530380.jpeg,Gallito,Avenida Agraciada y Esquina,,
https://www.gallito.com.uy/alquiler-mono-en-pocitos-inmuebles-28027734,Alquiler mono en Pocitos.,Apartamentos en Pocitos,$U,26500,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66259666.jpg,Gallito,26 de Marzo y Pereira,,
https://www.gallito.com.uy/alquiler-de-oficina-o-local-en-el-corazon-de-carrasco-inmuebles-27438585,ALQUILER DE OFICINA O LOCAL EN EL CORAZON DE CARRASCO,Oficinas en Carrasco,U$S,1700,https://imagenes.gallito.com/rinmu/sinblanco/338x254/250603170531680.jpg,Gallito,COSTA RICA y AROCENA,,
https://www.gallito.com.uy/casa-en-alquiler-la-blanqueada-inmuebles-28032269,Casa en alquiler - La Blanqueada,Casas en La Blanqueada,$U,76000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66399108.jpg,Gallito,Bulevar Artigas próximo a Garibaldi  - Ref: 253 y La Blanqueada,,
https://www.gallito.com.uy/alquiler-apartamento-en-zona-de-jacinto-vera-inmuebles-28086581,ALQUILER APARTAMENTO EN ZONA DE JACINTO VERA,Apartamentos en Jacinto Vera,$U,23000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/251018135329540.jpg,Gallito,JACINTO VERA y LAFINUR,,
https://www.gallito.com.uy/apartamento-en-alquiler-1-dormitorio-1-baño-inmuebles-27624846,"Apartamento en alquiler, 1 dormitorio, 1 baño,",Apartamentos en Ciudad Vieja,$U,35000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66269959.jpg,Gallito,Ref: 13990 y Ciudad Vieja,,
https://www.gallito.com.uy/alquiler-un-dormitorio-la-blanqueada-con-patio-a-estrenar-inmuebles-27854801,Alquiler un dormitorio la blanqueada con patio a estrenar,Apartamentos en La Blanqueada,$U,27000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/250901203034210.jpg,Gallito,Dámaso Antonio Larrañaga y Urquiza,,
https://www.gallito.com.uy/imperdible-apto-2-dorm-con-patio-exclusivo-terraza-inmuebles-27892280,IMPERDIBLE APTO 2 DORM CON PATIO EXCLUSIVO + TERRAZA!,Apartamentos en La Blanqueada,$U,41900,https://imagenes.gallito.com/rinmu/sinblanco/338x254/250908134826170.jpg,Gallito,Bv. Batlle y Ordóñez y Mateo Cabral,,
https://www.gallito.com.uy/piso-alto-con-vista-despejada-inmuebles-27926616,Piso Alto con Vista despejada,Apartamentos en Malvin,$U,41000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/65758838.jpg,Gallito,Estanislao Lopez y Malvin,,
https://www.gallito.com.uy/local-en-una-muy-buena-ubicacion-inmuebles-25514385,LOCAL EN UNA MUY BUENA UBICACIÓN,Locales en Punta Carretas,$U,25000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/250805165729910.jpg,Gallito,Prox Solano Gracía y Rambla,,
https://www.gallito.com.uy/alquiler-3-dormitorios-y-garage-en-pocitos-inmuebles-27642633,Alquiler 3 Dormitorios y Garage en Pocitos,Apartamentos en Pocitos,$U,46500,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66648095.jpg,Gallito,... y Pocitos,,
https://www.gallito.com.uy/super-oportunidad-de-alquiler-no-dude-en-llamar-inmuebles-24607182,"Súper Oportunidad de alquiler, no dude en llamar!!",Apartamentos en Cordon,$U,25500,https://imagenes.gallito.com/rinmu/sinblanco/338x254/231108213006410.jpg,Gallito,MAGALLANES y Guayabos,,
https://www.gallito.com.uy/a-estrenar-cochera-entrada-indep-amplio-divino-inmuebles-27896144,"A estrenar,cochera,entrada indep. amplio,divino.",Apartamentos en Prado,$U,34900,https://imagenes.gallito.com/rinmu/sinblanco/338x254/250909101055910.jpg,Gallito,De pena y Caceres,,
https://www.gallito.com.uy/alquiler-apartamento-punta-carretas-golf-reciclado-a-nuevo-c-inmuebles-27486015,Alquiler Apartamento Punta Carretas Golf Reciclado A Nuevo C,Apartamentos en Punta Carretas,U$S,2500,https://imagenes.gallito.com/rinmu/sinblanco/338x254/250612213727300.jpg,Gallito,"Av. Julio Maria Sosa 2261, 11300 Montevideo y Patria",,
https://www.gallito.com.uy/hermoso-apartamento-en-alquiler-en-zona-de-buceo-2-dormitor-inmuebles-28082765,"HERMOSO APARTAMENTO EN ALQUILER EN ZONA DE BUCEO, 2 DORMITOR",Apartamentos en Buceo,$U,28000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/251017190457680.jpg,Gallito,Ramos y Espinosa,,
https://www.gallito.com.uy/apartamento-en-alquiler-goes-inmuebles-28125490,Apartamento en alquiler - Goes,Apartamentos en Goes,$U,18800,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66626458.jpg,Gallito,Martin C Martínez esquina Domingo Aramburú  - Ref: 267 y Goes,,
https://www.gallito.com.uy/alquiler-de-apartamento-de-1-dormitorio-en-pocitos-a-estrena-inmuebles-28069962,Alquiler de apartamento de 1 dormitorio en Pocitos a estrena,Apartamentos en Pocitos,$U,37000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66612094.jpg,Gallito,Franzini y Sarmiento,,
https://www.gallito.com.uy/amueblado-impecable-apartamento-de-1-dorm-opcion-garage-inmuebles-27907521,AMUEBLADO Impecable apartamento de 1 dorm opcion garage,Apartamentos en Pocitos,$U,37900,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66400919.jpg,Gallito,... y Pocitos,,
https://www.gallito.com.uy/alquiler-apartamento-amoblado-de-2-dormitorios-punta-carret-inmuebles-28087189,"ALQUILER APARTAMENTO AMOBLADO DE 2 DORMITORIOS, PUNTA CARRET",Apartamentos en Punta Carretas,U$S,1150,https://imagenes.gallito.com/rinmu/sinblanco/338x254/251018221230700.jpg,Gallito,ACHIRAS y LORENZO JUSTINO PEREZ,,
https://www.gallito.com.uy/alquiler-apartamento-2-dormitorios-casi-rambla-garaje-reci-inmuebles-28031090,Alquiler apartamento  2 dormitorios casi rambla garaje reci,Apartamentos en Punta Carretas,$U,64000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/66619976.jpg,Gallito,... y Punta Carretas,,
https://www.gallito.com.uy/juan-cabal-y-martin-fierro-inmuebles-27977014,Juan cabal y Martín Fierro,Apartamentos en La Blanqueada,$U,18000,https://imagenes.gallito.com/rinmu/sinblanco/338x254/251008115845940.jpg,Gallito,Juan Cabal y Martín Fierrto,,
