score_similaridad,titulo_ml,ubicacion_ml,url_ml,precio_ml,titulo_gallito,ubicacion_gallito,url_gallito,precio_gallito
100,Apartamento Alquiler Tres Cruces,"Acevedo Díaz 1665, 11200 Montevideo, Departamento De Montevideo, Uruguay, Tres Cruces, Montevideo",N/A,$ 22800,Apartamento en alquiler - Tres Cruces,Apartamentos en Tres Cruces,https://www.gallito.com.uy/apartamento-en-alquiler-tres-cruces-inmuebles-27906830,$U 22000
92,Alquiler Apartamento La Blanqueada 2 Dormitorios,"Av 8 De Octubre  3174, La Blanqueada, Montevideo",N/A,$ 23000,ALQUILER APARTAMENTO 1 DORMITORIO - LA BLANQUEADA,Apartamentos en La Blanqueada,https://www.gallito.com.uy/alquiler-apartamento-1-dormitorio-la-blanqueada-inmuebles-28098411,$U 19500
