"","codcomp","depto","secc","seg","zona","codloc","nomdepto","nomloc","nombarrioi","ccz","v_tot","v_tot_oc","v_tot_des","v_par","v_par_oc","v_par_des","v_col","v_col_oc","v_col_des","p_tot","p_tot_fem","p_tot_masc","p_part","p_part_fem","p_part_masc","p_col","p_col_fem","p_col_masc"
"13709","1602104007","16","02","104","007","16825","SAN JOSE","18 DE JULIO (PUEBLO NUEVO)","N/A","N/A",3,1,2,3,1,2,0,0,0,1,0,1,1,0,1,0,0,0
"13710","0403307047","04","03","307","047","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",9,7,2,9,7,2,0,0,0,17,8,9,17,8,9,0,0,0
"13711","0401132858","04","01","132","858","04020","CERRO LARGO","MELO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13712","1908002856","19","08","002","856","19521","TREINTA Y TRES","SANTA CLARA DE OLIMAR","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13713","1202103024","12","02","103","024","12621","RIO NEGRO","NUEVO BERLIN","N/A","N/A",3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"13714","0403307045","04","03","307","045","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",12,12,0,12,12,0,0,0,0,33,19,14,32,18,14,0,0,0
"13715","0403307046","04","03","307","046","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13716","1701006403","17","01","006","403","17220","SORIANO","MERCEDES","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13717","1601020016","16","01","020","016","16220","SAN JOSE","SAN JOSE DE MAYO","N/A","N/A",32,23,9,32,23,9,0,0,0,65,36,29,63,36,27,0,0,0
"13718","0403307044","04","03","307","044","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",21,17,4,21,17,4,0,0,0,33,15,18,31,14,17,0,0,0
"13719","0405202034","04","05","202","034","04821","CERRO LARGO","ACEGUA","N/A","N/A",13,12,1,13,12,1,0,0,0,23,15,8,23,15,8,0,0,0
"13720","0316214807","03","16","214","807","03530","CANELONES","FRACC. CNO. ANDALUZ Y R.84","N/A","N/A",49,46,3,49,46,3,0,0,0,140,69,71,140,69,71,0,0,0
"13721","0701020028","07","01","020","028","07320","FLORES","TRINIDAD","N/A","N/A",8,7,1,8,7,1,0,0,0,22,12,10,20,12,8,0,0,0
"13722","0403207402","04","03","207","402","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13723","1801515855","18","01","515","855","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",19,17,2,19,17,2,0,0,0,41,21,20,41,21,20,0,0,0
"13724","0337284050","03","37","284","050","03953","CANELONES","LOMAS DE SOLYMAR","N/A","N/A",32,30,2,32,30,2,0,0,0,79,40,39,79,40,39,0,0,0
"13725","1801515854","18","01","515","854","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",54,30,24,0,0,0,54,30,24,31,15,16,0,0,0,31,15,16
"13726","0401432704","04","01","432","704","04020","CERRO LARGO","MELO","N/A","N/A",30,26,4,30,26,4,0,0,0,94,51,43,89,50,39,0,0,0
"13727","0337184407","03","37","184","407","03953","CANELONES","LOMAS DE SOLYMAR","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13728","0199266858","01","99","266","858","01020","MONTEVIDEO","MONTEVIDEO","LAS CANTERAS","09",16,16,0,16,16,0,0,0,0,30,16,14,30,16,14,0,0,0
"13729","0199266857","01","99","266","857","01020","MONTEVIDEO","MONTEVIDEO","LAS CANTERAS","09",42,42,0,42,42,0,0,0,0,87,45,42,87,45,42,0,0,0
"13730","0609008009","06","09","008","009","06421","DURAZNO","SARANDI DEL YI","N/A","N/A",8,7,1,8,7,1,0,0,0,30,15,15,20,12,8,0,0,0
"13731","1801023008","18","01","023","008","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",25,24,1,25,24,1,0,0,0,43,27,16,42,27,15,0,0,0
"13732","1801019026","18","01","019","026","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",9,9,0,9,9,0,0,0,0,18,10,8,18,10,8,0,0,0
"13733","0408006012","04","08","006","012","04621","CERRO LARGO","TUPAMBAE","N/A","N/A",3,2,1,3,2,1,0,0,0,3,2,1,2,2,0,0,0,0
"13734","1204105011","12","04","105","011","12421","RIO NEGRO","YOUNG","N/A","N/A",13,12,1,13,12,1,0,0,0,38,22,16,32,19,13,0,0,0
"13735","0609008007","06","09","008","007","06421","DURAZNO","SARANDI DEL YI","N/A","N/A",11,9,2,10,9,1,1,0,1,23,11,12,20,11,9,0,0,0
"13736","1007705411","10","07","705","411","10939","MALDONADO","FARO DE JOSE IGNACIO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13737","1814102009","18","14","102","009","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",38,35,3,38,35,3,0,0,0,81,44,37,81,44,37,0,0,0
"13738","1814202019","18","14","202","019","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",39,37,2,39,37,2,0,0,0,119,57,62,112,53,59,0,0,0
"13739","1801005004","18","01","005","004","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",36,32,4,36,32,4,0,0,0,72,40,32,64,36,28,0,0,0
"13740","1202201035","12","02","201","035","12621","RIO NEGRO","NUEVO BERLIN","N/A","N/A",3,2,1,3,2,1,0,0,0,3,1,2,2,1,1,0,0,0
"13741","0403810850","04","03","810","850","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",9,9,0,9,9,0,0,0,0,24,13,11,24,13,11,0,0,0
"13742","0608201404","06","08","201","404","06790","DURAZNO","CERRO CHATO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13743","0607101014","06","07","101","014","06622","DURAZNO","LA PALOMA","N/A","N/A",11,5,6,11,5,6,0,0,0,19,9,10,14,8,6,0,0,0
"13744","0403206856","04","03","206","856","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",28,23,5,28,23,5,0,0,0,83,45,38,76,44,32,0,0,0
"13745","0609008010","06","09","008","010","06421","DURAZNO","SARANDI DEL YI","N/A","N/A",18,14,4,18,14,4,0,0,0,34,14,20,26,11,15,0,0,0
"13746","0403207222","04","03","207","222","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",35,34,1,35,34,1,0,0,0,71,38,33,60,35,25,0,0,0
"13747","0120003001","01","20","003","001","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",35,32,3,35,32,3,0,0,0,42,19,23,33,15,18,0,0,0
"13748","0120003002","01","20","003","002","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",37,32,5,37,32,5,0,0,0,84,44,40,80,43,37,0,0,0
"13749","0403004850","04","03","004","850","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",20,19,1,20,19,1,0,0,0,41,19,22,41,19,22,0,0,0
"13750","0401132875","04","01","132","875","04020","CERRO LARGO","MELO","N/A","N/A",16,14,2,16,14,2,0,0,0,50,26,24,50,26,24,0,0,0
"13751","0403306016","04","03","306","016","04522","CERRO LARGO","RIO BRANCO","N/A","N/A",14,13,1,14,13,1,0,0,0,32,19,13,28,17,11,0,0,0
"13752","0411001013","04","11","001","013","04822","CERRO LARGO","BAÑADO DE MEDINA","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13753","1901008854","19","01","008","854","19220","TREINTA Y TRES","TREINTA Y TRES","N/A","N/A",32,26,6,32,26,6,0,0,0,60,36,24,55,34,21,0,0,0
"13754","0411001002","04","11","001","002","04822","CERRO LARGO","BAÑADO DE MEDINA","N/A","N/A",14,11,3,12,9,3,2,2,0,18,8,10,18,8,10,0,0,0
"13755","1901008851","19","01","008","851","19220","TREINTA Y TRES","TREINTA Y TRES","N/A","N/A",10,9,1,10,9,1,0,0,0,12,5,7,12,5,7,0,0,0
"13756","1810314402","18","10","314","402","18321","TACUAREMBO","PASO DE LOS TOROS","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13757","1001061408","10","01","061","408","10021","MALDONADO","PUNTA DEL ESTE","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13758","0401007701","04","01","007","701","04020","CERRO LARGO","MELO","N/A","N/A",5,3,2,5,3,2,0,0,0,6,3,3,6,3,3,0,0,0
"13759","0405102015","04","05","102","015","04821","CERRO LARGO","ACEGUA","N/A","N/A",23,15,8,23,15,8,0,0,0,30,16,14,29,16,13,0,0,0
"13760","0405102023","04","05","102","023","04821","CERRO LARGO","ACEGUA","N/A","N/A",20,18,2,20,18,2,0,0,0,44,25,19,44,25,19,0,0,0
"13761","0120003009","01","20","003","009","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",33,28,5,33,28,5,0,0,0,72,37,35,68,36,32,0,0,0
"13762","1209101029","12","09","101","029","12824","RIO NEGRO","SARANDI DE NAVARRO","N/A","N/A",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13763","1204004004","12","04","004","004","12421","RIO NEGRO","YOUNG","N/A","N/A",34,31,3,34,31,3,0,0,0,88,44,44,84,44,40,0,0,0
